term,stem,count,sample_size,ratio
"prosperity","prosper",4,2000,0.002
"russia","russia",4,2000,0.002
"exploitation","exploit",4,2000,0.002
"tower","tower",4,2000,0.002
"chase","chase",4,2000,0.002
"launch","launch",4,2000,0.002
"farron","farron",4,2000,0.002
"staying","stay",4,2000,0.002
"weaker","weaker",4,2000,0.002
"western","western",4,2000,0.002
"brand","brand",4,2000,0.002
"assets","asset",4,2000,0.002
"swaps","swap",4,2000,0.002
"decisive","decis",4,2000,0.002
"dominate","domin",4,2000,0.002
"marking","mark",4,2000,0.002
"families","famili",4,2000,0.002
"chris","chris",4,2000,0.002
"buyer","buyer",4,2000,0.002
"damaged","damag",4,2000,0.002
"intelligence","intellig",4,2000,0.002
"pm's","pm",4,2000,0.002
"sterling","sterl",4,2000,0.002
"applicants","applic",4,2000,0.002
"prince","princ",4,2000,0.002
"marine","marin",4,2000,0.002
"edinburgh","edinburgh",4,2000,0.002
"migration","migrat",4,2000,0.002
"dismissed","dismiss",4,2000,0.002
"lowest","lowest",4,2000,0.002
"austerity","auster",4,2000,0.002
"ignore","ignor",4,2000,0.002
"stocks","stock",4,2000,0.002
"california","california",4,2000,0.002
"thatcher","thatcher",4,2000,0.002
"announce","announc",4,2000,0.002
"tackling","tackl",4,2000,0.002
"owen","owen",4,2000,0.002
"clinton","clinton",4,2000,0.002
"disclosed","disclos",4,2000,0.002
"forecast","forecast",4,2000,0.002
"agenda","agenda",4,2000,0.002
"protecting","protect",4,2000,0.002
"duke","duke",4,2000,0.002
"fillon","fillon",4,2000,0.002
"monetary","monetari",4,2000,0.002
"frank","frank",4,2000,0.002
"behaviour","behaviour",4,2000,0.002
"dan","dan",4,2000,0.002
"usd","usd",4,2000,0.002
"timing","time",4,2000,0.002
"steve","steve",4,2000,0.002
"regulatory","regulatori",4,2000,0.002
"criticized","critic",4,2000,0.002
"wealth","wealth",4,2000,0.002
"lse","lse",4,2000,0.002
"deals","deal",4,2000,0.002
"coalition","coalit",4,2000,0.002
"expand","expand",4,2000,0.002
"affecting","affect",4,2000,0.002
"robert","robert",4,2000,0.002
"links","link",4,2000,0.002
"securing","secur",4,2000,0.002
"simon","simon",4,2000,0.002
"activists","activist",4,2000,0.002
"poles","pole",4,2000,0.002
"split","split",4,2000,0.002
"isis","isi",4,2000,0.002
"cbi","cbi",4,2000,0.002
"competitors","competitor",4,2000,0.002
"undergoing","undergo",4,2000,0.002
"nuclear","nuclear",4,2000,0.002
"chefs","chef",4,2000,0.002
"assembly","assembl",4,2000,0.002
"james","jame",4,2000,0.002
"equity","equiti",4,2000,0.002
"jonathan","jonathan",4,2000,0.002
"revival","reviv",4,2000,0.002
"calling","call",4,2000,0.002
"jack","jack",4,2000,0.002
"hub","hub",4,2000,0.002
"district","district",4,2000,0.002
"discs","disc",4,2000,0.002
"cake","cake",4,2000,0.002
"navigate","navig",4,2000,0.002
"chinese","chines",4,2000,0.002
"posed","pose",4,2000,0.002
"opponents","oppon",4,2000,0.002
"taxpayers","taxpay",4,2000,0.002
"university","univers",4,2000,0.002
"laura","laura",4,2000,0.002
"0.3","0.3",4,2000,0.002
"harris","harri",4,2000,0.002
"visas","visa",4,2000,0.002
"opinion","opinion",4,2000,0.002
"iraq","iraq",4,2000,0.002
"organisation","organis",4,2000,0.002
"andrew","andrew",4,2000,0.002
"goldman","goldman",4,2000,0.002
"wider","wider",4,2000,0.002
"inquiry","inquiri",3,2000,0.0015
"shaping","shape",3,2000,0.0015
"anna","anna",3,2000,0.0015
"rudd","rudd",3,2000,0.0015
"sortie","sort",3,2000,0.0015
"interpreting","interpret",3,2000,0.0015
"alex","alex",3,2000,0.0015
"gdp","gdp",3,2000,0.0015
"brain","brain",3,2000,0.0015
"vaguely","vagu",3,2000,0.0015
"resignations","resign",3,2000,0.0015
"queen's","queen",3,2000,0.0015
"jim","jim",3,2000,0.0015
"intends","intend",3,2000,0.0015
"ruth","ruth",3,2000,0.0015
"qualify","qualifi",3,2000,0.0015
"consulted","consult",3,2000,0.0015
"failing","fail",3,2000,0.0015
"giants","giant",3,2000,0.0015
"downgrades","downgrad",3,2000,0.0015
"derivatives","deriv",3,2000,0.0015
"dictate","dictat",3,2000,0.0015
"presenter","present",3,2000,0.0015
"tariffs","tariff",3,2000,0.0015
"abandon","abandon",3,2000,0.0015
"futures","futur",3,2000,0.0015
"chamber","chamber",3,2000,0.0015
"futile","futil",3,2000,0.0015
"frustrating","frustrat",3,2000,0.0015
"supposedly","suppos",3,2000,0.0015
"1,000","1,000",3,2000,0.0015
"speculation","specul",3,2000,0.0015
"initiatives","initi",3,2000,0.0015
"welcomed","welcom",3,2000,0.0015
"internationally","intern",3,2000,0.0015
"successor","successor",3,2000,0.0015
"reminder","remind",3,2000,0.0015
"richest","richest",3,2000,0.0015
"xenophobic","xenophob",3,2000,0.0015
"trait","trait",3,2000,0.0015
"christian","christian",3,2000,0.0015
"ed","ed",3,2000,0.0015
"grenfell","grenfel",3,2000,0.0015
"constituent","constitu",3,2000,0.0015
"applies","appli",3,2000,0.0015
"spider","spider",3,2000,0.0015
"ridiculous","ridicul",3,2000,0.0015
"booming","boom",3,2000,0.0015
"slowing","slow",3,2000,0.0015
"compiled","compil",3,2000,0.0015
"korean","korean",3,2000,0.0015
"departure","departur",3,2000,0.0015
"congress","congress",3,2000,0.0015
"lab","lab",3,2000,0.0015
"pmi","pmi",3,2000,0.0015
"careers","career",3,2000,0.0015
"incredibly","incred",3,2000,0.0015
"cracked","crack",3,2000,0.0015
"awaiting","await",3,2000,0.0015
"overwhelmingly","overwhelm",3,2000,0.0015
"repeatedly","repeat",3,2000,0.0015
"buzzfeed","buzzfe",3,2000,0.0015
"dragging","drag",3,2000,0.0015
"soubry","soubri",3,2000,0.0015
"frictionless","frictionless",3,2000,0.0015
"deposit","deposit",3,2000,0.0015
"rally","ralli",3,2000,0.0015
"pickers","picker",3,2000,0.0015
"mars","mar",3,2000,0.0015
"finances","financ",3,2000,0.0015
"protesting","protest",3,2000,0.0015
"recognised","recognis",3,2000,0.0015
"obligation","oblig",3,2000,0.0015
"optimistic","optimist",3,2000,0.0015
"ryanair","ryanair",3,2000,0.0015
"pessimistic","pessimist",3,2000,0.0015
"website","websit",3,2000,0.0015
"nicola","nicola",3,2000,0.0015
"contractor","contractor",3,2000,0.0015
"politically","polit",3,2000,0.0015
"singapore","singapor",3,2000,0.0015
"ans","an",3,2000,0.0015
"stunning","stun",3,2000,0.0015
"unprecedented","unpreced",3,2000,0.0015
"suppliers","supplier",3,2000,0.0015
"ã","ã",3,2000,0.0015
"belfast","belfast",3,2000,0.0015
"self-employed","self-employ",3,2000,0.0015
"apolitical","apolit",3,2000,0.0015
"ranking","rank",3,2000,0.0015
"legally","legal",3,2000,0.0015
"uber","uber",3,2000,0.0015
"bitcoin","bitcoin",3,2000,0.0015
"poland","poland",3,2000,0.0015
"arguments","argument",3,2000,0.0015
"digital","digit",3,2000,0.0015
"intellectual","intellectu",3,2000,0.0015
"exchanges","exchang",3,2000,0.0015
"shortage","shortag",3,2000,0.0015
"condemn","condemn",3,2000,0.0015
"winner","winner",3,2000,0.0015
"wilson","wilson",3,2000,0.0015
"proposing","propos",3,2000,0.0015
"oppose","oppos",3,2000,0.0015
"dialogos","dialogo",3,2000,0.0015
"prepares","prepar",3,2000,0.0015
"japan","japan",3,2000,0.0015
"gap","gap",3,2000,0.0015
"integrity","integr",3,2000,0.0015
"clegg","clegg",3,2000,0.0015
"austrian","austrian",3,2000,0.0015
"churchill","churchil",3,2000,0.0015
"unclear","unclear",3,2000,0.0015
"retreated","retreat",3,2000,0.0015
